skew_thr,streak_sec,cheap_thr,all_slices_positive,min_slice_pnl_usd,pnl_sum_usd_full,ev_per_window_usd_full,hits_full,slice_0_pnl_usd,slice_1_pnl_usd,slice_2_pnl_usd,slice_3_pnl_usd,slice_4_pnl_usd,slice_5_pnl_usd,slice_6_pnl_usd,slice_7_pnl_usd,slice_8_pnl_usd,slice_9_pnl_usd
0.76,22,0.19,0,-8.0,1205.444939,1.207861,161,947.748325,261.150433,0.513158,-2.473684,-1.235294,-3.444444,-2.736842,13.256622,-8.0,0.666667
0.76,22,0.2,0,-8.0,1107.862982,1.110083,162,852.485167,258.233766,0.513158,2.526316,1.882353,-3.444444,-3.0,6.0,-8.0,0.666667
0.76,22,0.21,0,-8.0,1024.050804,1.026103,163,852.485167,162.995671,0.513158,2.025063,10.047619,-3.444444,-3.0,6.0,-8.0,4.428571
0.76,22,0.22,0,-8.0,1032.115739,1.034184,165,852.485167,162.324675,5.058612,5.115972,-1.363636,1.10101,6.090909,5.090909,-8.0,4.212121
0.78,6,0.15,0,-8.0,1048.712843,1.050814,109,841.277056,216.991342,-4.0,-8.0,-5.0,-4.0,-4.0,2.666667,-4.0,16.777778
0.78,6,0.16,0,-10.0,1033.177489,1.035248,116,838.019481,216.991342,-4.0,-10.0,-6.0,-4.0,-7.0,1.25,-4.0,11.916667
0.78,6,0.17,0,-10.0,1036.998345,1.039076,120,837.651833,213.782786,-4.0,-10.0,-1.117647,1.882353,-8.0,-1.117647,-4.0,11.916667
0.78,6,0.18,0,-10.0,1046.109456,1.048206,122,836.651833,213.782786,-4.0,-10.0,-1.117647,6.437908,-2.444444,-1.117647,-4.0,11.916667
0.78,6,0.19,0,-4.736842,1049.474179,1.051577,122,836.651833,213.163591,-4.0,-4.736842,-1.117647,6.437908,-2.736842,-1.117647,-4.0,10.929825
0.78,6,0.2,0,-6.0,962.872528,0.964802,125,741.651833,211.233766,-4.0,-6.0,2.882353,6.437908,-3.0,-2.0,0.0,15.666667
0.78,6,0.21,0,-6.0,876.158242,0.877914,126,741.651833,115.995671,-4.0,-6.0,2.882353,6.437908,-3.0,2.761905,0.0,19.428571
0.78,6,0.22,0,-2.454545,881.994504,0.883762,129,741.651833,120.324675,0.545455,-2.454545,1.427807,5.10101,1.545455,1.761905,4.545455,7.545455
0.78,8,0.15,0,-10.0,1094.212843,1.096406,116,873.61039,217.991342,10.666667,-10.0,-6.0,-5.0,-5.0,2.666667,-4.0,19.277778
0.78,8,0.16,0,-12.0,1084.927489,1.087102,123,870.352814,217.991342,16.916667,-12.0,-7.0,-5.0,-8.0,1.25,-4.0,14.416667
0.78,8,0.17,0,-12.0,1088.380698,1.090562,127,869.985167,214.782786,16.54902,-12.0,-2.117647,0.882353,-9.0,-1.117647,-4.0,14.416667
0.78,8,0.18,0,-12.0,1097.491809,1.099691,129,868.985167,214.782786,16.54902,-12.0,-2.117647,5.437908,-3.444444,-1.117647,-4.0,14.416667
0.78,8,0.19,0,-6.736842,1100.237337,1.102442,129,868.985167,214.163591,15.929825,-6.736842,-2.117647,5.437908,-3.736842,-1.117647,-4.0,13.429825
0.78,8,0.2,0,-8.0,1013.635686,1.015667,132,773.985167,212.233766,15.929825,-8.0,1.882353,5.437908,-4.0,-2.0,0.0,18.166667
0.78,8,0.21,0,-8.0,930.562857,0.932428,133,773.985167,116.995671,15.929825,-8.0,5.52381,5.437908,-4.0,2.761905,0.0,21.928571
0.78,8,0.22,0,-4.454545,931.420763,0.933287,136,773.985167,121.324675,20.475279,-4.454545,-0.909091,4.10101,0.545455,1.761905,4.545455,10.045455
0.78,10,0.15,0,-8.0,1189.90515,1.19229,128,970.61039,216.991342,8.666667,-2.307692,-8.0,-5.0,-6.0,1.666667,-6.0,19.277778
0.78,10,0.16,0,-12.0,1162.510823,1.164841,135,967.352814,216.991342,4.5,-12.0,-9.0,-5.0,-9.0,0.25,-6.0,14.416667
0.78,10,0.17,0,-9.0,1172.846384,1.175197,138,966.985167,213.782786,4.132353,-6.117647,-4.117647,0.882353,-9.0,-2.117647,-6.0,14.416667
0.78,10,0.18,0,-6.0,1186.186253,1.188563,141,965.985167,213.782786,4.132353,-1.888889,-4.117647,5.437908,-3.444444,-2.117647,-6.0,14.416667
0.78,10,0.19,0,-6.0,1183.376226,1.185748,141,965.985167,213.163591,3.513158,-2.181287,-4.117647,5.437908,-3.736842,-2.117647,-6.0,13.429825
0.78,10,0.2,0,-4.0,1097.037732,1.099236,144,870.985167,211.233766,3.513158,-3.181287,-0.117647,5.437908,-4.0,-3.0,-2.0,18.166667
0.78,10,0.21,0,-4.0,1013.171253,1.015202,145,870.985167,115.995671,3.513158,-3.974937,3.52381,5.437908,-4.0,1.761905,-2.0,21.928571
0.78,10,0.22,0,-3.974937,1015.029159,1.017063,147,870.985167,120.324675,8.058612,-3.974937,-2.909091,4.10101,5.090909,0.761905,2.545455,10.045455
0.78,12,0.15,0,-7.0,1200.682928,1.203089,135,969.61039,216.991342,8.666667,-1.307692,-4.333333,-5.0,-7.0,12.777778,-6.0,16.277778
0.78,12,0.16,0,-11.0,1179.5386,1.181902,142,966.352814,216.991342,4.5,-11.0,-5.333333,-5.0,-10.0,11.361111,-6.0,17.666667
0.78,12,0.17,0,-10.0,1189.506515,1.19189,145,965.985167,213.782786,4.132353,-5.117647,-0.45098,0.882353,-10.0,8.993464,-6.0,17.29902
0.78,12,0.18,0,-6.0,1196.596384,1.198994,148,964.985167,213.782786,4.132353,-0.888889,-0.45098,5.437908,-4.444444,8.993464,-6.0,11.04902
0.78,12,0.19,0,-6.0,1192.36969,1.194759,149,964.985167,213.163591,3.513158,-1.181287,-2.854489,5.437908,-4.736842,8.993464,-6.0,11.04902
0.78,12,0.2,0,-5.0,1100.920085,1.103126,151,869.985167,216.233766,3.513158,-2.181287,-3.117647,5.437908,-5.0,2.0,-2.0,16.04902
0.78,12,0.21,0,-5.0,1017.053605,1.019092,152,869.985167,120.995671,3.513158,-2.974937,0.52381,5.437908,-5.0,6.761905,-2.0,19.810924
0.78,12,0.22,0,-5.454545,1018.029159,1.020069,154,869.985167,125.324675,3.513158,-2.974937,-5.454545,4.10101,4.090909,5.307359,2.545455,11.590909
0.78,14,0.15,0,-8.0,1189.592019,1.191976,137,969.61039,208.900433,8.666667,-1.307692,-5.333333,-5.0,-8.0,12.777778,-6.0,15.277778
0.78,14,0.16,0,-11.0,1168.447691,1.170789,144,966.352814,208.900433,4.5,-11.0,-6.333333,-5.0,-11.0,11.361111,-6.0,16.666667
0.78,14,0.17,0,-11.0,1181.624162,1.183992,147,965.985167,208.900433,4.132353,-5.117647,-1.45098,0.882353,-11.0,8.993464,-6.0,16.29902
0.78,14,0.18,0,-6.0,1188.714031,1.191096,150,964.985167,208.900433,4.132353,-0.888889,-1.45098,5.437908,-5.444444,8.993464,-6.0,10.04902
0.78,14,0.19,0,-6.0,1186.106532,1.188483,150,964.985167,208.900433,3.513158,-1.181287,-2.854489,5.437908,-5.736842,8.993464,-6.0,10.04902
0.78,14,0.2,0,-6.0,1094.920085,1.097114,152,869.985167,212.233766,3.513158,-2.181287,-3.117647,5.437908,-6.0,2.0,-2.0,15.04902
0.78,14,0.21,0,-6.0,1011.053605,1.01308,153,869.985167,116.995671,3.513158,-2.974937,0.52381,5.437908,-6.0,6.761905,-2.0,18.810924
0.78,14,0.22,0,-5.454545,1012.029159,1.014057,155,869.985167,121.324675,3.513158,-2.974937,-5.454545,4.10101,3.090909,5.307359,2.545455,10.590909
0.78,16,0.15,0,-8.0,1174.901543,1.177256,143,965.753247,206.900433,8.666667,-2.307692,0.333333,-6.0,-8.0,12.777778,-7.0,3.777778
0.78,16,0.16,0,-12.0,1153.340548,1.155652,150,962.495671,206.900433,4.5,-12.0,-1.083333,-6.0,-11.0,11.361111,-7.0,5.166667
0.78,16,0.17,0,-11.0,1165.365058,1.1677,153,962.128024,206.900433,4.132353,-6.117647,3.431373,-0.117647,-11.0,8.993464,-7.0,4.014706
0.78,16,0.18,0,-7.0,1173.454927,1.175807,155,962.128024,206.900433,4.132353,-1.888889,3.431373,4.437908,-5.444444,8.993464,-7.0,-2.235294
0.78,16,0.19,0,-7.0,1168.967729,1.17131,155,960.248325,206.900433,3.513158,-2.181287,2.027864,4.437908,-5.736842,8.993464,-7.0,-2.235294
0.78,16,0.2,0,-6.0,1075.753419,1.077909,157,864.985167,210.233766,3.513158,1.818713,0.882353,4.437908,-6.0,2.0,-3.0,-3.117647
0.78,16,0.21,0,-6.0,991.648844,0.993636,158,864.985167,114.995671,3.513158,1.025063,4.285714,4.437908,-6.0,6.761905,-3.0,0.644258
0.78,16,0.22,0,-6.454545,989.529159,0.991512,160,864.985167,119.324675,3.513158,-3.974937,-6.454545,3.10101,3.090909,5.307359,1.545455,-0.909091
0.78,18,0.15,0,-7.0,1171.211067,1.173558,148,953.253247,206.900433,7.666667,-1.307692,-0.190476,-7.0,-7.0,17.444444,-1.333333,2.777778
0.78,18,0.16,0,-11.0,1154.173882,1.156487,155,949.995671,206.900433,3.5,-11.0,-2.5,-0.75,-10.0,15.611111,-1.75,4.166667
0.78,18,0.17,0,-10.0,1167.198391,1.169537,157,949.628024,206.900433,3.132353,-5.117647,2.014706,5.132353,-10.0,14.243464,-1.75,3.014706
0.78,18,0.18,0,-4.444444,1174.593816,1.176948,159,949.628024,206.900433,3.132353,-0.888889,2.014706,9.687908,-4.444444,13.54902,-1.75,-3.235294
0.78,18,0.19,0,-8.0,1164.967729,1.167302,159,947.748325,206.900433,2.513158,-1.181287,2.014706,9.687908,-4.736842,13.256622,-8.0,-3.235294
0.78,18,0.2,0,-8.0,1062.753419,1.064883,160,852.485167,205.233766,2.513158,2.818713,1.132353,9.687908,-5.0,6.0,-8.0,-4.117647
0.78,18,0.21,0,-8.0,977.160748,0.979119,161,852.485167,114.757576,2.513158,2.025063,4.535714,8.199813,-5.0,6.0,-8.0,-0.355742
0.78,18,0.22,0,-3.454545,988.133875,0.990114,163,852.485167,118.87013,7.058612,-2.974937,-1.659091,6.862915,4.090909,8.763806,-3.454545,-1.909091
0.78,20,0.15,0,-8.0,1239.778166,1.242263,154,953.253247,263.04329,6.666667,5.783217,-0.190476,-8.0,0.333333,17.444444,-1.333333,2.777778
0.78,20,0.16,0,-6.75,1220.007215,1.222452,160,949.995671,262.150433,2.5,-6.75,-2.5,-1.75,-1.666667,15.611111,-1.75,4.166667
0.78,20,0.17,0,-4.117647,1225.351986,1.227808,162,949.628024,262.150433,2.132353,-0.867647,2.014706,4.132353,-4.117647,3.132353,4.132353,3.014706
0.78,20,0.18,0,-3.235294,1227.170614,1.22963,163,949.628024,262.150433,2.132353,-1.888889,2.014706,8.687908,1.437908,2.437908,3.805556,-3.235294
0.78,20,0.19,0,-3.235294,1217.836924,1.220277,163,947.748325,262.150433,1.513158,-2.181287,2.014706,8.687908,1.145511,2.437908,-2.444444,-3.235294
0.78,20,0.2,0,-4.117647,1120.191327,1.122436,164,852.485167,259.233766,1.513158,1.818713,1.132353,8.687908,0.882353,1.555556,-3.0,-4.117647
